performance_id,competition,program,name,nation,rank,starting_number,total_segment_score,total_element_score,total_component_score,total_deductions
4d370c29a7,Grand Prix Final 2017 Senior and Junior,LADIES FREE SKATING,Carolina KOSTNER,ITA,3,1,141.83,66.87,74.96,0.00
b917f2d80a,Grand Prix Final 2017 Senior and Junior,LADIES FREE SKATING,Maria SOTSKOVA,RUS,2,2,142.28,73.59,68.69,0.00
d4a4d3d2fb,Grand Prix Final 2017 Senior and Junior,LADIES FREE SKATING,Wakaba HIGUCHI,JPN,6,3,128.85,62.67,66.18,0.00
3e969440ef,Grand Prix Final 2017 Senior and Junior,LADIES FREE SKATING,Kaetlyn OSMOND,CAN,5,4,138.12,66.50,72.62,1.00
5e8023f5f0,Grand Prix Final 2017 Senior and Junior,LADIES FREE SKATING,Alina ZAGITOVA,RUS,1,5,147.03,76.61,70.42,0.00
0e9192775c,Grand Prix Final 2017 Senior and Junior,LADIES FREE SKATING,Satoko MIYAHARA,JPN,4,6,138.88,67.00,71.88,0.00
319db81cfd,Grand Prix Final 2017 Senior and Junior,LADIES SHORT PROGRAM,Satoko MIYAHARA,JPN,3,1,74.61,39.39,35.22,0.00
ca61b7ad7f,Grand Prix Final 2017 Senior and Junior,LADIES SHORT PROGRAM,Wakaba HIGUCHI,JPN,5,2,73.26,39.08,34.18,0.00
71ac951548,Grand Prix Final 2017 Senior and Junior,LADIES SHORT PROGRAM,Maria SOTSKOVA,RUS,4,3,74.00,40.11,33.89,0.00
4725c9c96e,Grand Prix Final 2017 Senior and Junior,LADIES SHORT PROGRAM,Carolina KOSTNER,ITA,6,4,72.82,35.36,37.46,0.00
7156e37c42,Grand Prix Final 2017 Senior and Junior,LADIES SHORT PROGRAM,Kaetlyn OSMOND,CAN,1,5,77.04,40.64,36.40,0.00
630ca49af9,Grand Prix Final 2017 Senior and Junior,LADIES SHORT PROGRAM,Alina ZAGITOVA,RUS,2,6,76.27,41.21,35.06,0.00
0c18375356,Grand Prix Final 2017 Senior and Junior,MEN FREE SKATING,Adam RIPPON,USA,5,1,168.14,81.78,87.36,1.00
08078dfa79,Grand Prix Final 2017 Senior and Junior,MEN FREE SKATING,Sergei VORONOV,RUS,4,2,178.82,91.90,86.92,0.00
f5afc3d8ed,Grand Prix Final 2017 Senior and Junior,MEN FREE SKATING,Jason BROWN,USA,6,3,164.79,75.71,90.08,1.00
e5738bdb58,Grand Prix Final 2017 Senior and Junior,MEN FREE SKATING,Nathan CHEN,USA,2,4,183.19,95.75,88.44,1.00
6fb9fe45c5,Grand Prix Final 2017 Senior and Junior,MEN FREE SKATING,Mikhail KOLYADA,RUS,3,5,182.78,95.58,89.20,2.00
fa5bc00580,Grand Prix Final 2017 Senior and Junior,MEN FREE SKATING,Shoma UNO,JPN,1,6,184.50,94.14,91.36,1.00
18dc845250,Grand Prix Final 2017 Senior and Junior,MEN SHORT PROGRAM,Jason BROWN,USA,4,1,89.02,44.30,44.72,0.00
c47c170087,Grand Prix Final 2017 Senior and Junior,MEN SHORT PROGRAM,Adam RIPPON,USA,6,2,86.19,42.59,43.60,0.00
5ce38b8a4e,Grand Prix Final 2017 Senior and Junior,MEN SHORT PROGRAM,Sergei VORONOV,RUS,5,3,87.77,45.16,42.61,0.00
d54462c065,Grand Prix Final 2017 Senior and Junior,MEN SHORT PROGRAM,Mikhail KOLYADA,RUS,3,4,99.22,55.51,44.71,1.00
3cd397724c,Grand Prix Final 2017 Senior and Junior,MEN SHORT PROGRAM,Shoma UNO,JPN,2,5,101.51,57.04,46.47,2.00
299920152c,Grand Prix Final 2017 Senior and Junior,MEN SHORT PROGRAM,Nathan CHEN,USA,1,6,103.32,58.14,45.18,0.00
d5dd4c57d0,Grand Prix Final 2017 Senior and Junior,PAIRS FREE SKATING,Xiaoyu YU / Hao ZHANG,CHN,4,1,136.99,69.06,67.93,0.00
d596a59fa9,Grand Prix Final 2017 Senior and Junior,PAIRS FREE SKATING,Ksenia STOLBOVA / Fedor KLIMOV,RUS,5,2,136.11,66.35,70.76,1.00
92d7e3340b,Grand Prix Final 2017 Senior and Junior,PAIRS FREE SKATING,Meagan DUHAMEL / Eric RADFORD,CAN,3,3,138.65,69.02,70.63,1.00
53ef2c3d8b,Grand Prix Final 2017 Senior and Junior,PAIRS FREE SKATING,Wenjing SUI / Cong HAN,CHN,2,4,155.07,79.24,75.83,0.00
518f59948e,Grand Prix Final 2017 Senior and Junior,PAIRS FREE SKATING,Evgenia TARASOVA / Vladimir MOROZOV,RUS,6,5,129.90,58.07,71.83,0.00
1b1c2c6e58,Grand Prix Final 2017 Senior and Junior,PAIRS FREE SKATING,Aljona SAVCHENKO / Bruno MASSOT,GER,1,6,157.25,80.23,77.02,0.00
2d65ba6a04,Grand Prix Final 2017 Senior and Junior,PAIRS SHORT PROGRAM,Xiaoyu YU / Hao ZHANG,CHN,6,1,70.15,37.60,33.55,1.00
fe52a3fd95,Grand Prix Final 2017 Senior and Junior,PAIRS SHORT PROGRAM,Ksenia STOLBOVA / Fedor KLIMOV,RUS,4,2,73.15,39.20,34.95,1.00
6cfdc18629,Grand Prix Final 2017 Senior and Junior,PAIRS SHORT PROGRAM,Meagan DUHAMEL / Eric RADFORD,CAN,5,3,72.18,37.00,35.18,0.00
89289f74b9,Grand Prix Final 2017 Senior and Junior,PAIRS SHORT PROGRAM,Aljona SAVCHENKO / Bruno MASSOT,GER,1,4,79.43,42.53,36.90,0.00
3ab1df75d6,Grand Prix Final 2017 Senior and Junior,PAIRS SHORT PROGRAM,Evgenia TARASOVA / Vladimir MOROZOV,RUS,2,5,78.83,42.24,36.59,0.00
d974f9348c,Grand Prix Final 2017 Senior and Junior,PAIRS SHORT PROGRAM,Wenjing SUI / Cong HAN,CHN,3,6,75.82,39.64,37.18,1.00
8e812c43e1,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,20,1,73.03,36.13,36.90,0.00
0d7f38097d,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Taylor TRAN / Saulius AMBRULEVICIUS,LTU,17,2,80.08,41.68,38.40,0.00
8ca8cb492d,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Lucie MYSLIVECKOVA / Lukas CSOLLEY,SVK,16,3,83.80,41.78,42.02,0.00
e036303811,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Tina GARABEDIAN / Simon PROULX-SENECAL,ARM,19,4,75.05,36.51,38.54,0.00
21db98f92f,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Lilah FEAR / Lewis GIBSON,GBR,14,5,86.24,45.43,40.81,0.00
2090670846,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Marie-Jade LAURIAULT / Romain LE GAC,FRA,11,6,90.92,48.29,43.63,1.00
55ac392018,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Cecilia TÖRN / Jussiville PARTANEN,FIN,18,7,76.12,37.56,40.56,2.00
c3495b5499,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Sara HURTADO / Kirill KHALIAVIN,ESP,15,8,84.84,41.15,43.69,0.00
6ee53b5ca6,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Kavita LORENZ / Joti POLIZOAKIS,GER,13,9,86.69,43.42,43.27,0.00
88f40e39d4,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Alisa AGAFONOVA / Alper UCAR,TUR,9,10,91.35,46.02,45.33,0.00
332c69bd83,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Alexandra NAZAROVA / Maxim NIKITIN,UKR,10,11,91.29,45.61,45.68,0.00
8cdeb31d3a,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Natalia KALISZEK / Maksym SPODYRIEV,POL,8,12,92.67,45.78,46.89,0.00
174ca0deda,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Alexandra STEPANOVA / Ivan BUKIN,RUS,5,13,98.76,47.54,51.22,0.00
c8b417436a,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Victoria SINITSINA / Nikita KATSALAPOV,RUS,12,14,89.84,41.72,49.12,1.00
649db915ed,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,6,15,94.66,48.92,46.74,1.00
85069e57c8,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Charlene GUIGNARD / Marco FABBRI,ITA,7,16,93.22,44.76,50.46,2.00
e09719e966,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Isabella TOBIAS / Ilia TKACHENKO,ISR,4,17,99.94,49.17,50.77,0.00
c7d6bda5de,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,3,18,110.38,53.95,56.43,0.00
0b3135846d,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Anna CAPPELLINI / Luca LANOTTE,ITA,2,19,110.99,54.69,56.30,0.00
4d564d6896,ISU European Figure Skating Championships 2017,ICE DANCE FREE DANCE,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,1,20,114.19,56.87,57.32,0.00
ecf905186e,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Robynne TWEEDALE / Joseph BUCKLAND,GBR,21,1,49.55,25.98,23.57,0.00
20afd20acd,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Sara HURTADO / Kirill KHALIAVIN,ESP,13,2,56.52,30.30,27.22,1.00
5e662349a6,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Nicole KUZMICHOVA / Alexandr SINICYN,CZE,26,3,47.16,23.07,24.09,0.00
445900136e,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Lilah FEAR / Lewis GIBSON,GBR,19,4,50.75,26.06,24.69,0.00
d7aaa98ce3,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Jasmine TESSARI / Francesco FIORETTI,ITA,22,5,49.44,26.07,23.37,0.00
19dd8428ef,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Olga JAKUSHINA / Andrey NEVSKIY,LAT,23,6,49.14,25.06,24.08,0.00
2e0c3fd777,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Tatiana KOZMAVA / Alexei SHUMSKI,GEO,27,7,43.80,21.60,22.20,0.00
41a2345881,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Katerina BUNINA / German FROLOV,EST,29,8,39.47,20.68,19.79,1.00
dd1adf6416,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Adel TANKOVA / Ronald ZILBERBERG,ISR,30,9,38.49,19.20,20.29,1.00
7c51cc2573,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Tina GARABEDIAN / Simon PROULX-SENECAL,ARM,16,10,53.00,27.66,25.34,0.00
0780e7753c,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Hanna JAKUCS / Daniel ILLES,HUN,28,11,43.50,22.34,21.16,0.00
e375bcfdfc,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Lucie MYSLIVECKOVA / Lukas CSOLLEY,SVK,17,12,52.84,26.10,26.74,0.00
b9a39d47f0,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Victoria MANNI / Carlo RÖTHLISBERGER,SUI,25,13,47.19,23.92,23.27,0.00
b3c19ee19a,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Vavara OGLOBLINA / Mikhail ZHIRNOV,AZE,24,14,48.45,25.07,23.38,0.00
66d787d4e1,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Taylor TRAN / Saulius AMBRULEVICIUS,LTU,20,15,49.87,26.58,23.29,0.00
17037778d1,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Victoria SINITSINA / Nikita KATSALAPOV,RUS,8,16,64.67,31.81,33.86,1.00
fb7c28b639,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Viktoria KAVALIOVA / Yurii BIELIAIEV,BLR,18,17,52.39,26.88,25.51,0.00
b754cf1da0,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Kavita LORENZ / Joti POLIZOAKIS,GER,15,18,54.63,26.59,28.04,0.00
756e30e051,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Marie-Jade LAURIAULT / Romain LE GAC,FRA,12,19,61.48,33.06,28.42,0.00
a08662d486,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Cecilia TÖRN / Jussiville PARTANEN,FIN,14,20,54.99,28.85,27.14,1.00
9afba32062,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Alexandra NAZAROVA / Maxim NIKITIN,UKR,9,21,63.36,33.65,29.71,0.00
fc42737358,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Alisa AGAFONOVA / Alper UCAR,TUR,11,22,62.33,33.18,29.15,0.00
62ba97cbaf,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Isabella TOBIAS / Ilia TKACHENKO,ISR,5,23,69.35,36.58,32.77,0.00
e4d2d7f807,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Laurence FOURNIER BEAUDRY / Nikolaj SORENSEN,DEN,7,24,66.02,36.19,29.83,0.00
949516c02f,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Natalia KALISZEK / Maksym SPODYRIEV,POL,10,25,63.35,32.90,30.45,0.00
321de6fc19,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Gabriella PAPADAKIS / Guillaume CIZERON,FRA,3,26,75.48,38.06,37.42,0.00
4ac4f5fc6a,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Alexandra STEPANOVA / Ivan BUKIN,RUS,6,27,68.17,33.72,34.45,0.00
de3f442309,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Charlene GUIGNARD / Marco FABBRI,ITA,4,28,70.46,36.35,34.11,0.00
7ce538d262,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Anna CAPPELLINI / Luca LANOTTE,ITA,2,29,75.65,40.22,36.43,1.00
20a174dfc9,ISU European Figure Skating Championships 2017,ICE DANCE SHORT DANCE,Ekaterina BOBROVA / Dmitri SOLOVIEV,RUS,1,30,76.18,39.32,36.86,0.00
5ebb06bf1a,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Anne Line GJERSEM,NOR,23,1,80.62,39.94,42.68,2.00
6ac39fa131,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Angelina KUCHVALSKA,LAT,18,2,90.58,43.62,46.96,0.00
1ee711d597,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Natasha MCKAY,GBR,16,3,94.88,48.20,46.68,0.00
686cffa69c,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Nathalie WEINZIERL,GER,17,4,94.70,47.61,49.09,2.00
72b2e4d551,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Anna KHNYCHENKOVA,UKR,20,5,87.64,47.69,41.95,2.00
dc041820c3,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Viveca LINDFORS,FIN,22,6,80.62,37.48,45.14,2.00
a8a5638f0d,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Michaela-Lucie HANZLIKOVA,CZE,21,7,85.84,40.15,46.69,1.00
1b967c18c5,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Joshi HELGESSON,SWE,13,8,98.93,46.87,52.06,0.00
8a54076bde,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Emmi PELTONEN,FIN,9,9,107.05,52.35,54.70,0.00
46ee41f155,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Helery HÄLVIN,EST,15,10,94.96,47.36,49.60,2.00
dd10011f39,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Kerstin FRANK,AUT,24,11,80.61,36.63,43.98,0.00
cf75102f54,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Matilda ALGOTSSON,SWE,11,12,103.28,52.66,50.62,0.00
d794da338b,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Anastasia GALUSTYAN,ARM,14,13,98.74,45.72,53.02,0.00
7da53e4caf,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Mae Berenice MEITE,FRA,19,14,90.11,43.98,50.13,4.00
eec554d7bb,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Loena HENDRICKX,BEL,7,15,117.30,60.60,56.70,0.00
d3c184eeb5,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Nicole SCHOTT,GER,10,16,103.75,49.66,56.09,2.00
c7ba2330b8,ISU European Figure Skating Championships 2017,LADIES FREE SKATING,Nicole RAJICOVA,SVK,6,17,118.72,60.83,57.89,0.00
